ID	X	Y	dem
210	63.6875	40.1875	193
211	63.8125	40.1875	195
212	63.9375	40.1875	199
213	64.6875	40.1875	256
214	64.8125	40.1875	267
215	64.9375	40.1875	287
216	65.0625	40.1875	308
217	65.1875	40.1875	316
218	65.3125	40.1875	331
219	65.4375	40.1875	370
220	65.5625	40.1875	412
221	65.6875	40.1875	471
222	65.8125	40.1875	542
223	65.9375	40.1875	577
224	66.0625	40.1875	593
225	66.1875	40.1875	666
226	66.3125	40.1875	760
227	66.4375	40.1875	844
228	66.5625	40.1875	808
229	66.6875	40.1875	745
230	66.8125	40.1875	753
231	66.9375	40.1875	815
232	67.0625	40.1875	778
233	67.1875	40.1875	850
234	67.3125	40.1875	1007
235	67.4375	40.1875	993
236	62.1875	40.0625	179
237	62.3125	40.0625	180
238	62.4375	40.0625	167
239	62.5625	40.0625	177
240	62.6875	40.0625	176
241	62.8125	40.0625	175
242	62.9375	40.0625	175
243	63.0625	40.0625	177
244	63.1875	40.0625	178
245	63.3125	40.0625	180
246	63.4375	40.0625	186
247	63.5625	40.0625	189
248	63.6875	40.0625	193
249	63.8125	40.0625	197
250	63.9375	40.0625	201
251	64.0625	40.0625	205
252	64.4375	40.0625	232
253	64.5625	40.0625	242
254	64.6875	40.0625	250
255	64.8125	40.0625	261
256	64.9375	40.0625	309
257	65.0625	40.0625	354
258	65.1875	40.0625	395
259	65.3125	40.0625	420
260	65.4375	40.0625	450
261	65.5625	40.0625	467
262	65.6875	40.0625	392
263	65.8125	40.0625	401
264	65.9375	40.0625	420
265	66.0625	40.0625	446
266	66.1875	40.0625	486
267	66.3125	40.0625	518
268	66.4375	40.0625	553
269	66.5625	40.0625	576
270	66.6875	40.0625	595
271	66.8125	40.0625	671
272	66.9375	40.0625	769
273	67.0625	40.0625	755
274	67.1875	40.0625	732
275	67.3125	40.0625	769
276	67.4375	40.0625	699
277	62.1875	39.9375	180
278	62.3125	39.9375	181
279	62.4375	39.9375	173
280	62.5625	39.9375	185
281	62.6875	39.9375	177
282	62.8125	39.9375	177
283	62.9375	39.9375	176
284	63.0625	39.9375	175
285	63.1875	39.9375	179
286	63.3125	39.9375	180
287	63.4375	39.9375	184
288	63.5625	39.9375	189
289	63.6875	39.9375	193
290	63.8125	39.9375	197
291	63.9375	39.9375	202
292	64.0625	39.9375	208
293	64.1875	39.9375	215
